Roller contact length [m],0.001587802146457606
7,75.0,0.10381130223550827,-inf,1.5,-1.0009089295448248,-1.0079070442800204,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.1038210480978587,-inf,1.5,-1.1449020849328435,-1.1518937649015015,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.10383083375695033,-inf,1.5,-1.2888953033706807,-1.295880485522423,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.10384065938053949,-inf,1.5,-1.4328885853042665,-1.439867206143727,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10385052513715008,-inf,1.5,-1.5768819311822422,-1.5838539267633454,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10386043119605672,-inf,1.5,-1.7208753414574103,-1.7278406473841632,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.1038703777273309,-inf,1.5,-1.8648688165919913,-1.8718273680053708,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.10388036490180966,-inf,1.5,-2.0088623570466813,-2.01581408862737,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10389039289112127,-inf,1.5,-2.15285596327884,-2.1598008092481367,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.1039004618676713,-inf,1.5,-2.296849635758762,-2.30378752986904,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10391057200465947,-inf,1.5,-2.440843374952696,-2.4477742504887,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.10392072347608329,-inf,1.5,-2.5848371813350934,-2.591760971109776,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10393091645673046,-inf,1.5,-2.7288310553778405,-2.7357476917298973,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10394115112220567,-inf,1.5,-2.872824997557696,-2.879734412352261,0.1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10374459716017125,-inf,1.5,0.0007102467783214869,-1.4718323709651502e-11,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.1037455502339535,-inf,1.5,-0.013808779193826965,-0.014518198594315468,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10374650406223583,-inf,1.5,-0.02832780628126567,-0.029036397176353788,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.1037474582821899,-inf,1.5,-0.04284683406265706,-0.0435545957560384,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10374841289393513,-inf,1.5,-0.0573658625361954,-0.05807279433658917,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10374936789763002,-inf,1.5,-0.0718848917037687,-0.07259099291514778,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10375032329345144,-inf,1.5,-0.08640392156109693,-0.08710919149690653,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.1037512790815547,-inf,1.5,-0.10092295211544126,-0.1016273900774882,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.10375223526211355,-inf,1.5,-0.1154419833623008,-0.11614558865822977,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.1037531918352944,-inf,1.5,-0.12996101530578164,-0.13066378723691555,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.1037541488012531,-inf,1.5,-0.14448004794439318,-0.1451819858168796,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10375510616016424,-inf,1.5,-0.1589990812786492,-0.1597001843977353,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10375606391219316,-inf,1.5,-0.17351811531061873,-0.17421838297880157,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.10375702205751111,-inf,1.5,-0.1880371500362118,-0.18873658156132345,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.10375798059626944,-inf,1.5,-0.20255618546148682,-0.20325478014008194,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10375893952865098,-inf,1.5,-0.21707522158213804,-0.21777297872078435,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.10375989885481897,-inf,1.5,-0.23159425840533998,-0.2322911772997863,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10376085857492717,-inf,1.5,-0.2461132959238112,-0.24680937588051008,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.1037618186891614,-inf,1.5,-0.2606323341426869,-0.26132757446267435,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10376277919767116,-inf,1.5,-0.275151373060891,-0.27584577304260965,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10376374010063287,-inf,1.5,-0.28967041267833443,-0.29036397162232946,1,0.003,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10218896475219777,-inf,1.5,0.5467045951139102,6.298657206560731e-09,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10268115361742829,-inf,1.5,-17.898414123782363,-18.469370789131823,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10335643366007179,-inf,1.5,-36.33106631167415,-36.93874158458481,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10428510373733486,-inf,1.5,-54.744265695435615,-55.40811238000472,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10556795504019802,-inf,1.5,-73.12713735775876,-73.87748317545021,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10735360987003406,-inf,1.5,-91.46279784202954,-92.34685397088884,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.1098701363656256,-inf,1.5,-109.72505500485757,-110.81622476634088,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.11348803348128912,-inf,1.5,-127.87317051009502,-129.28559556178845,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.11886084186210961,-inf,1.5,-145.84329801974465,-147.7549663572441,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.12729317353361821,-inf,1.5,-163.53394385246938,-166.2243371526908,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.14196720967079282,-inf,1.5,-180.7803104466171,-184.69370794812804,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.17435778548660996,-inf,1.5,-197.3081829241186,-203.16307874357005,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.7004099457563143,0.013731369615616903,1.5,-212.65575068037114,-221.63244953903805,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.8518246457674404,0.008892263742684816,1.5,-226.08586952342486,-240.1018203344929,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.8947381209301205,0.004750993403124443,1.5,-236.71785911049562,-258.5711911299575,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.9138218929161043,0.0018736706865503487,1.5,-244.14227224604448,-277.04056192540406,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.9179261503525457,0.0010138739286039483,1.5,-244.90576842910474,-295.50993272085475,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.9180213085251113,0.0007787162863545778,1.5,-242.41025065934247,-313.9793035162784,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.9179543184109012,0.0006197272308272609,1.5,-239.06419104840717,-332.4486743117542,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.918095743672599,0.0004846163480226091,1.5,-235.39896088099385,-350.9180451072015,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.9186493036551066,0.0003627487596226989,1.5,-231.97492603044796,-369.3874159026444,1e-05,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.1021960171475408,-inf,1.5,0.24654340862135665,2.618956722631015e-10,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10239399070934907,-inf,1.5,-8.208696986325933,-8.458151043483852,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10262162678564798,-inf,1.5,-16.663442589993352,-16.91630208722315,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10288344211385186,-inf,1.5,-25.117597891308566,-25.374453130970725,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10318469138066869,-inf,1.5,-33.571048891641425,-33.83260417471341,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.10353150432186396,-inf,1.5,-42.02365956729744,-42.290755218474786,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10393106946002836,-inf,1.5,-50.47526764542979,-50.74890626222094,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.10439185468763856,-inf,1.5,-58.92567973887874,-59.20705730597872,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.10492389532900574,-inf,1.5,-67.37466551632063,-67.66520834973319,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.10553916711826557,-inf,1.5,-75.82195079604918,-76.12335939347874,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.10625207802897799,-inf,1.5,-84.26720933312049,-84.58151043723463,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10708012786717395,-inf,1.5,-92.71005302657906,-93.03966148097147,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10804481477393615,-inf,1.5,-101.15002019325811,-101.49781252472107,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.10917287746347464,-inf,1.5,-109.5865615231179,-109.95596356847648,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.11049811139095796,-inf,1.5,-118.01902304148285,-118.41411461222319,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.1120639930450875,-inf,1.5,-126.44662546111064,-126.87226565598132,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.11392767466338902,-inf,1.5,-134.8684388046995,-135.3304166997159,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.11616621617534661,-inf,1.5,-143.28335086401245,-143.78856774347264,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.11888681642876313,-inf,1.5,-151.6900271398758,-152.2467187872137,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.12224436451581155,-inf,1.5,-160.0868584037221,-160.7048698309669,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.12647351942941729,-inf,1.5,-168.4718886102952,-169.16302087470865,0.001,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10220131535286005,-inf,1.5,0.004160333630508148,2.8465520560953536e-12,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10220444875517906,-inf,1.5,-0.1392997569400698,-0.14345400269781314,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.1022075898968581,-inf,1.5,-0.28275988788566603,-0.28690800540035455,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.1022107384747636,-inf,1.5,-0.42622005602838603,-0.43036200810354286,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10221389450662983,-inf,1.5,-0.5696802615579171,-0.5738160108030428,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.102217058010245,-inf,1.5,-0.7131405046617926,-0.717270013504506,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10222022900344457,-inf,1.5,-0.8566007855323383,-0.8607240162069185,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.10222340750410627,-inf,1.5,-1.0000611043622738,-1.0041780189089944,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.10222659353015644,-inf,1.5,-1.1435214613407005,-1.1476320216112739,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.102229787099558,-inf,1.5,-1.286981856662847,-1.2910860243115982,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.10223298823032576,-inf,1.5,-1.4304422905226988,-1.434540027014802,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10223619694051621,-inf,1.5,-1.5739027631150302,-1.5779940297156627,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.1022394132482314,-inf,1.5,-1.7173632746369192,-1.721448032416943,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.1022426371716157,-inf,1.5,-1.8608238252850837,-1.8649020351208008,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.1022458687288649,-inf,1.5,-2.0042844152561576,-2.008356037820491,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10224910793821464,-inf,1.5,-2.1477450447519617,-2.151810040523389,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.10225235481794528,-inf,1.5,-2.2912057139701836,-2.2952640432248153,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10225560938638921,-inf,1.5,-2.434666423110029,-2.4387180459247575,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.10225887166191504,-inf,1.5,-2.578127172378628,-2.582172048629375,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10226214166294573,-inf,1.5,-2.7215879619701893,-2.725626051328531,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10226541940794676,-inf,1.5,-2.8650487920933876,-2.869080054031129,0.1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.10220139698527639,-inf,1.5,0.0004187560040807213,-1.8017481807078285e-11,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.10220171201201614,-inf,1.5,-0.014015722079050011,-0.014433796540281093,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.10220202706428551,-inf,1.5,-0.028450200978362573,-0.028867593059756363,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.10220234219151486,-inf,1.5,-0.04288468027206144,-0.043301389584894004,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.10220265739372533,-inf,1.5,-0.057319159959505206,-0.05773518610715053,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.1022029726709353,-inf,1.5,-0.07175364004293792,-0.07216898262911642,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.10220328802315973,-inf,1.5,-0.0861881205191021,-0.0866027791528225,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.10220360345041976,-inf,1.5,-0.10062260139217308,-0.10103657567303101,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.10220391895273115,-inf,1.5,-0.11505708265974171,-0.11547037219613866,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.10220423453011374,-inf,1.5,-0.12949156432269804,-0.1299041687193575,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.10220455018258436,-inf,1.5,-0.14392604637973097,-0.14433796524159853,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.10220486591016043,-inf,1.5,-0.15836052883514373,-0.15877176176362548,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.10220518171286243,-inf,1.5,-0.1727950116816988,-0.1732055582863277,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.10220549759070716,-inf,1.5,-0.18722949492604288,-0.18763935480868327,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.10220581354371053,-inf,1.5,-0.20166397856977988,-0.20207315132952816,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.10220612957189334,-inf,1.5,-0.21609846260655605,-0.21650694785305374,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.10220644567527196,-inf,1.5,-0.23053294704132035,-0.23094074437763654,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.10220676185386661,-inf,1.5,-0.24496743187286482,-0.24537454089863248,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.10220707810769208,-inf,1.5,-0.25940191710032995,-0.2598083374214893,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.10220739443676918,-inf,1.5,-0.27383640272415216,-0.274242133944729,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.10220771084111505,-inf,1.5,-0.288270888747308,-0.2886759304665458,1,0.005,40.0,30.0,0.001,0.2,0.3,0.1,50

0,40.0,0.11181464445545855,-inf,1.5,0.9832036375967386,5.793380500746568e-09,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
1,45.0,0.11828841484124653,-inf,1.5,-5.130008063508892,-6.265357875775466,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
2,50.0,0.13157200703963368,-inf,1.5,-11.154367560575661,-12.530715757409201,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
3,55.0,0.16928858213809633,-inf,1.5,-17.026592210209607,-18.796073638973,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
4,60.0,0.8569123571057669,0.0013213253745032517,1.5,4.8345570517968355,-25.061431520562493,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
5,65.0,0.8578615248510985,0.0010572213840048614,1.5,4.978473942696285,-31.326789402153786,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
6,70.0,0.8581902650742873,0.0008248757334044061,1.5,5.3298011267871885,-37.59214728373583,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
7,75.0,0.8577535064532807,0.0006098402013937913,1.5,6.029772926820662,-43.85750516534216,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
8,80.0,0.8562992688827984,0.00039896322584564536,1.5,7.30041037171169,-50.12286304693278,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
9,85.0,0.8535719464055502,0.00017586726257960838,1.5,9.444667158944762,-56.38822092852025,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
10,90.0,0.8498168422383937,-8.222895541417265e-05,1.5,12.673759825173233,-62.653578810118894,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
11,95.0,0.8465223980744033,-0.0003881444278643489,1.5,16.752410400291335,-68.91893669169656,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
12,100.0,0.8455127225402664,-0.0007215801745903649,1.5,21.01380614102073,-75.18429457333013,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
13,105.0,0.8470397196227241,-0.0010785652437062384,1.5,25.06154209045838,-81.44965245492087,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
14,110.0,0.8691387336863086,-0.009613485131385206,1.5,54.11918093910673,-87.71501033652447,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
15,115.0,0.8736116222839234,-0.009613593116459667,1.5,48.18244420368362,-93.98036821811374,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
16,120.0,0.8789597147731385,-0.009613702285570487,1.5,42.28868567025426,-100.24572609972739,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
17,125.0,0.8852360202933759,-0.009613812363892218,1.5,36.44564182786942,-106.51108398131566,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
18,130.0,0.8924245222288861,-0.009613923657730367,1.5,30.661633450689422,-112.77644186291428,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
19,135.0,0.900420960988432,-0.009614036130650629,1.5,24.945091047009956,-119.04179974453301,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50
20,140.0,0.9090304042933781,-0.009614149862963273,1.5,19.303881771245237,-125.30715762614432,0.0001,0.001,40.0,30.0,0.001,0.2,0.3,0.1,50

